Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,19.791666,20.500000,19.666666,20.500000,9.705196,2042400
1990-01-03,20.500000,21.083334,20.250000,21.000000,9.941908,2803200
1990-01-04,20.916666,20.916666,20.500000,20.916666,9.902459,3361400
1990-01-05,20.791666,20.791666,20.583334,20.625000,9.764371,1600400
1990-01-08,20.625000,20.916666,20.541666,20.875000,9.882732,1416600
1990-01-09,20.875000,20.875000,20.583334,20.625000,9.764371,1578600
1990-01-10,20.625000,20.750000,20.500000,20.708334,9.803825,2838000
1990-01-11,20.708334,20.875000,20.250000,20.416666,9.665745,2562200
1990-01-12,20.208334,20.208334,19.916666,20.000000,9.468485,2433200
1990-01-15,19.916666,19.916666,19.708334,19.791666,9.369857,1704800
1990-01-16,19.791666,20.000000,19.416666,19.958334,9.448761,3266000
1990-01-17,19.958334,20.291666,19.916666,20.083334,9.507937,2244600
1990-01-18,20.083334,20.083334,19.833334,20.000000,9.468485,1720200
1990-01-19,20.000000,20.333334,20.000000,20.291666,9.606568,1852400
1990-01-22,20.250000,20.250000,19.625000,19.750000,9.350131,2115600
1990-01-23,19.750000,19.958334,19.625000,19.666666,9.310675,1707000
1990-01-24,19.666666,19.875000,19.041666,19.875000,9.409305,2964600
1990-01-25,19.875000,19.916666,19.291666,19.333334,9.152869,1638000
1990-01-26,19.333334,19.500000,18.875000,19.291666,9.133142,1791200
1990-01-29,19.291666,19.416666,18.875000,19.125000,9.054239,1359000
1990-01-30,19.250000,19.750000,19.250000,19.416666,9.192325,4048800
1990-01-31,19.416666,19.833334,19.375000,19.750000,9.350131,3127200
1990-02-01,19.750000,20.416666,19.750000,20.416666,9.665745,2986800
1990-02-02,20.416666,20.791666,20.416666,20.750000,9.823551,2238800
1990-02-05,20.750000,21.125000,20.625000,21.041666,9.961639,2354400
1990-02-06,21.041666,21.250000,20.833334,21.166666,10.020809,1862600
1990-02-07,21.166666,21.333334,20.833334,21.166666,10.020809,2714400
1990-02-08,21.166666,21.291666,20.833334,20.833334,9.863003,2051400
1990-02-09,20.833334,20.875000,20.666666,20.791666,9.843280,1884600
1990-02-12,20.791666,20.958334,20.583334,20.750000,9.919064,1351800
1990-02-13,20.750000,20.875000,20.458334,20.708334,9.899146,1288800
1990-02-14,20.708334,21.166666,20.708334,21.166666,10.118236,1500000
1990-02-15,21.166666,21.166666,21.000000,21.166666,10.118236,1929800
1990-02-16,21.166666,21.250000,20.875000,20.958334,10.018654,1689600
1990-02-20,20.750000,20.750000,20.291666,20.500000,9.799555,1579400
1990-02-21,20.458334,20.458334,20.125000,20.166666,9.640213,2656200
1990-02-22,20.208334,20.583334,20.208334,20.208334,9.660133,1471200
1990-02-23,20.208334,20.208334,19.958334,20.000000,9.560540,1600400
1990-02-26,20.000000,20.458334,20.000000,20.375000,9.739799,1310600
1990-02-27,20.375000,20.541666,20.333334,20.541666,9.819477,1446000
1990-02-28,20.583334,21.375000,20.583334,21.291666,10.177997,3216000
1990-03-01,21.291666,21.791666,21.041666,21.666666,10.357261,2600600
1990-03-02,21.666666,21.666666,21.458334,21.625000,10.337333,1766600
1990-03-05,21.625000,21.708334,21.333334,21.666666,10.357261,2316200
1990-03-06,21.666666,21.791666,21.500000,21.750000,10.397090,1809200
1990-03-07,21.750000,22.166666,21.750000,22.041666,10.536517,2585400
1990-03-08,22.041666,22.416666,21.916666,22.375000,10.695854,1685000
1990-03-09,22.375000,22.666666,22.333334,22.583334,10.795444,2686800
1990-03-12,22.500000,22.500000,22.250000,22.333334,10.675941,1514000
1990-03-13,22.333334,22.375000,22.041666,22.166666,10.596266,1985600
1990-03-14,22.166666,22.500000,22.083334,22.500000,10.755609,1756200
1990-03-15,22.500000,22.791666,22.375000,22.458334,10.735697,2399400
1990-03-16,22.708334,23.333334,22.708334,23.250000,11.114130,4717800
1990-03-19,23.250000,23.958334,22.958334,23.833334,11.392983,3078600
1990-03-20,23.833334,24.125000,23.458334,23.500000,11.233634,4326000
1990-03-21,23.541666,24.083334,23.541666,23.708334,11.333229,2744600
1990-03-22,23.708334,24.250000,23.583334,23.750000,11.353151,5259200
1990-03-23,23.875000,24.458334,23.875000,24.416666,11.671828,2070200
1990-03-26,24.416666,24.833334,23.875000,24.000000,11.472651,2671400
1990-03-27,24.000000,24.333334,23.833334,24.250000,11.592159,2581200
1990-03-28,24.250000,24.500000,24.083334,24.291666,11.612079,2033400
1990-03-29,24.291666,24.291666,24.000000,24.125000,11.532401,1647600
1990-03-30,24.125000,24.166666,23.708334,23.916666,11.432818,2014400
1990-04-02,23.833334,23.833334,23.375000,23.791666,11.373062,2304000
1990-04-03,23.791666,24.458334,23.791666,24.416666,11.671828,2256000
1990-04-04,24.416666,24.500000,24.000000,24.000000,11.472651,2107800
1990-04-05,24.208334,24.416666,24.208334,24.291666,11.612079,1535000
1990-04-06,24.291666,24.500000,24.125000,24.291666,11.612079,1138400
1990-04-09,24.291666,24.416666,24.125000,24.125000,11.532401,1617800
1990-04-10,24.083334,24.083334,23.875000,24.041666,11.492565,1680000
1990-04-11,24.041666,24.250000,24.000000,24.166666,11.552321,1026200
1990-04-12,24.166666,24.541666,24.083334,24.375000,11.651914,1177400
1990-04-16,24.416666,24.916666,24.416666,24.416666,11.671828,2916800
1990-04-17,24.416666,24.416666,24.125000,24.333334,11.631994,1333200
1990-04-18,24.333334,24.375000,23.791666,23.833334,11.392983,1605600
1990-04-19,23.833334,23.875000,23.583334,23.708334,11.333229,1849200
1990-04-20,23.708334,23.708334,23.166666,23.500000,11.233634,3154400
1990-04-23,23.458334,23.458334,23.041666,23.333334,11.153968,2211800
1990-04-24,23.333334,23.458334,23.250000,23.291666,11.134051,1591200
1990-04-25,23.291666,23.416666,23.208334,23.291666,11.134051,1186800
1990-04-26,23.291666,23.416666,23.166666,23.333334,11.153968,1940000
1990-04-27,23.333334,23.500000,22.916666,22.916666,10.954787,2683800
1990-04-30,22.916666,23.250000,22.833334,23.250000,11.114130,2847600
1990-05-01,23.708334,24.083334,23.708334,24.083334,11.512486,4470600
1990-05-02,24.166666,24.375000,24.166666,24.333334,11.631994,3416000
1990-05-03,24.375000,24.583334,24.375000,24.500000,11.711659,2011800
1990-05-04,24.500000,24.750000,24.416666,24.666666,11.791335,1732800
1990-05-07,24.666666,24.750000,24.375000,24.458334,11.691750,2264000
1990-05-08,24.458334,24.583334,24.458334,24.583334,11.751501,1845000
1990-05-09,24.583334,24.625000,24.416666,24.583334,11.751501,1733400
1990-05-10,24.583334,25.166666,24.500000,25.125000,12.010430,2740200
1990-05-11,25.208334,26.041666,25.208334,26.000000,12.428703,4488800
1990-05-14,26.000000,26.375000,25.875000,26.000000,12.549467,3078200
1990-05-15,25.916666,25.916666,25.541666,25.666666,12.388580,1927200
1990-05-16,25.666666,25.750000,25.416666,25.500000,12.308127,1937000
1990-05-17,25.625000,25.916666,25.625000,25.708334,12.408694,1753400
1990-05-18,25.708334,25.958334,25.500000,25.958334,12.529367,2623800
1990-05-21,25.958334,26.666666,25.750000,26.375000,12.730473,2529000
1990-05-22,26.375000,26.750000,26.250000,26.541666,12.810919,2379000
1990-05-23,26.541666,27.041666,26.416666,27.041666,13.052256,1863200
1990-05-24,27.166666,27.583334,27.166666,27.541666,13.293591,2445000
1990-05-25,27.500000,27.500000,27.125000,27.250000,13.152810,1740000
1990-05-29,27.250000,27.333334,26.916666,27.291666,13.172921,1906200
1990-05-30,27.291666,27.500000,27.041666,27.333334,13.193032,2765600
1990-05-31,27.333334,27.875000,27.166666,27.458334,13.253362,3242000
1990-06-01,27.625000,28.250000,27.625000,28.250000,13.635484,4035000
1990-06-04,28.250000,29.000000,28.250000,28.791666,13.896932,4224200
1990-06-05,28.791666,28.791666,28.333334,28.416666,13.715927,2516000
1990-06-06,28.416666,28.458334,28.208334,28.333334,13.675706,1987400
