Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,7.983336,8.257051,7.937717,8.257051,0.333659,6241800
1990-01-03,8.302670,8.371099,8.257051,8.302670,0.335503,8031900
1990-01-04,8.325480,8.348289,8.234241,8.302670,0.335503,3932500
1990-01-05,8.302670,8.348289,8.188622,8.188622,0.330894,3820400
1990-01-08,8.165812,8.211432,8.120193,8.188622,0.330894,3360800
1990-01-09,8.188622,8.234241,8.051764,8.051764,0.325364,5279800
1990-01-10,8.074574,8.120193,8.006145,8.120193,0.328129,2950300
1990-01-11,8.165812,8.279860,8.165812,8.211432,0.331816,2944900
1990-01-12,8.120193,8.143003,7.983336,7.983336,0.322599,3214000
1990-01-15,7.983336,8.006145,7.869289,7.892098,0.318912,4010600
1990-01-16,7.846479,8.234241,7.823669,8.211432,0.331816,3935600
1990-01-17,8.211432,8.234241,8.028955,8.074574,0.326286,2822000
1990-01-18,8.028955,8.120193,7.983336,8.074574,0.326286,4986100
1990-01-19,8.165812,8.211432,8.120193,8.143003,0.329051,4071600
1990-01-22,8.120193,8.165812,7.937717,7.937717,0.320755,3896100
1990-01-23,7.983336,8.074574,7.937717,8.028955,0.324442,6626400
1990-01-24,7.755241,7.892098,7.664003,7.709622,0.365120,5953900
1990-01-25,7.732431,7.823669,7.618384,7.618384,0.360799,4843600
1990-01-26,7.641193,7.755241,7.572765,7.732431,0.366200,3616700
1990-01-29,7.823669,7.869289,7.572765,7.778050,0.368360,4246300
1990-01-30,7.800860,7.823669,7.618384,7.755241,0.367280,2742700
1990-01-31,7.800860,7.914908,7.800860,7.869289,0.372681,5610900
1990-02-01,7.846479,7.869289,7.732431,7.800860,0.369441,3036400
1990-02-02,7.709622,7.892098,7.709622,7.869289,0.372681,4489600
1990-02-05,7.800860,7.937717,7.778050,7.937717,0.375922,2058100
1990-02-06,7.892098,7.914908,7.823669,7.823669,0.370521,2474700
1990-02-07,7.778050,8.211432,7.755241,8.188622,0.387805,4685900
1990-02-08,8.211432,8.211432,7.960527,8.028955,0.380243,4285300
1990-02-09,8.006145,8.028955,7.914908,8.028955,0.380243,2420500
1990-02-12,8.028955,8.143003,7.960527,8.028955,0.380243,3030900
1990-02-13,8.006145,8.120193,7.960527,8.051764,0.381323,2654400
1990-02-14,8.051764,8.165812,8.051764,8.143003,0.385644,2333800
1990-02-15,8.143003,8.302670,8.120193,8.257051,0.391045,6466800
1990-02-16,8.211432,8.234241,8.097384,8.097384,0.383484,5492000
1990-02-20,8.028955,8.074574,7.983336,8.028955,0.380243,3846300
1990-02-21,7.937717,8.279860,7.892098,8.257051,0.391045,3637400
1990-02-22,8.211432,8.325480,8.143003,8.143003,0.385644,3141600
1990-02-23,8.120193,8.234241,8.097384,8.165812,0.386724,2929400
1990-02-26,8.143003,8.393908,8.097384,8.371099,0.396446,3719700
1990-02-27,8.393908,8.576385,8.393908,8.416718,0.398607,5694300
1990-02-28,8.416718,8.530766,8.348289,8.393908,0.397527,4888000
1990-03-01,8.348289,8.485147,8.325480,8.371099,0.396446,3802900
1990-03-02,8.393908,8.622004,8.371099,8.599194,0.407249,7426500
1990-03-05,8.553575,8.576385,8.485147,8.553575,0.405088,6155100
1990-03-06,8.576385,8.690432,8.553575,8.690432,0.411570,4691400
1990-03-07,8.713242,8.736051,8.553575,8.599194,0.407249,3653500
1990-03-08,8.576385,8.690432,8.553575,8.690432,0.411570,2690400
1990-03-09,8.622004,8.690432,8.599194,8.644813,0.409409,3893000
1990-03-12,8.599194,8.781670,8.576385,8.758861,0.414810,5024600
1990-03-13,8.736051,8.895718,8.713242,8.781670,0.415891,4739100
1990-03-14,8.758861,8.781670,8.667623,8.690432,0.411570,3218300
1990-03-15,8.690432,8.736051,8.576385,8.736051,0.413730,4028300
1990-03-16,8.804480,8.895718,8.781670,8.872909,0.420212,6285500
1990-03-19,8.827289,8.850099,8.713242,8.804480,0.416971,2996300
1990-03-20,8.804480,8.850099,8.736051,8.850099,0.419131,3977900
1990-03-21,8.872909,8.918528,8.758861,8.758861,0.414810,3989300
1990-03-22,8.781670,8.850099,8.667623,8.850099,0.419131,9578000
1990-03-23,8.850099,8.918528,8.804480,8.804480,0.416971,3058700
1990-03-26,8.895718,8.964147,8.850099,8.850099,0.419131,3404200
1990-03-27,8.827289,8.895718,8.758861,8.895718,0.421292,3403100
1990-03-28,8.872909,8.918528,8.850099,8.895718,0.421292,2361000
1990-03-29,8.872909,8.872909,8.713242,8.758861,0.414810,2541400
1990-03-30,8.713242,8.736051,8.599194,8.622004,0.408329,3033700
1990-04-02,8.599194,8.667623,8.507956,8.644813,0.409409,3955400
1990-04-03,8.622004,8.758861,8.576385,8.736051,0.413730,2751900
1990-04-04,8.758861,8.804480,8.667623,8.667623,0.410490,4130700
1990-04-05,8.690432,8.713242,8.553575,8.576385,0.406169,3412400
1990-04-06,8.622004,8.622004,8.485147,8.553575,0.405088,1809300
1990-04-09,8.507956,8.599194,8.507956,8.553575,0.405088,2080100
1990-04-10,8.576385,8.576385,8.530766,8.553575,0.405088,1767200
1990-04-11,8.553575,8.553575,8.462337,8.485147,0.401848,2080600
1990-04-12,8.462337,8.485147,8.439527,8.485147,0.401848,1385700
1990-04-16,8.507956,8.576385,8.485147,8.530766,0.404008,4982400
1990-04-17,8.485147,8.622004,8.485147,8.599194,0.407249,2801800
1990-04-18,8.622004,8.781670,8.553575,8.758861,0.414810,6644400
1990-04-19,8.713242,8.872909,8.713242,8.804480,0.416971,5055700
1990-04-20,8.804480,8.804480,8.667623,8.758861,0.414810,6443400
1990-04-23,8.690432,8.713242,8.622004,8.667623,0.410490,3177300
1990-04-24,8.713242,8.713242,8.485147,8.530766,0.404008,3110800
1990-04-25,8.530766,8.553575,8.416718,8.485147,0.401848,5710500
1990-04-26,8.348289,8.393908,8.188622,8.302670,0.456611,3898400
1990-04-27,8.325480,8.348289,8.097384,8.097384,0.445321,2803500
1990-04-30,8.074574,8.074574,7.983336,8.051764,0.442812,3845200
1990-05-01,8.097384,8.211432,8.051764,8.097384,0.445321,3500500
1990-05-02,8.188622,8.302670,8.120193,8.302670,0.456611,3226600
1990-05-03,8.393908,8.393908,8.302670,8.325480,0.457865,3954800
1990-05-04,8.393908,8.416718,8.302670,8.371099,0.460374,2472400
1990-05-07,8.371099,8.416718,8.325480,8.348289,0.459120,2176600
1990-05-08,8.325480,8.462337,8.302670,8.462337,0.465392,3379300
1990-05-09,8.416718,8.462337,8.325480,8.371099,0.460374,3096700
1990-05-10,8.393908,8.393908,8.279860,8.302670,0.456611,2436700
1990-05-11,8.348289,8.553575,8.302670,8.462337,0.465392,4988900
1990-05-14,8.462337,8.713242,8.439527,8.667623,0.476682,6494200
1990-05-15,8.667623,8.850099,8.644813,8.713242,0.479191,4301900
1990-05-16,8.690432,8.781670,8.644813,8.713242,0.479191,3422700
1990-05-17,8.781670,8.895718,8.690432,8.713242,0.479191,3656800
1990-05-18,8.667623,8.713242,8.530766,8.599194,0.472918,5081000
1990-05-21,8.553575,8.713242,8.530766,8.690432,0.477936,2591800
1990-05-22,8.758861,8.804480,8.599194,8.690432,0.477936,4486800
1990-05-23,8.667623,8.667623,8.530766,8.599194,0.472918,4149200
1990-05-24,8.576385,8.622004,8.485147,8.485147,0.466646,3956400
1990-05-25,8.485147,8.553575,8.462337,8.507956,0.467901,3493900
1990-05-29,8.485147,8.599194,8.439527,8.599194,0.472918,4848700
1990-05-30,8.553575,8.622004,8.462337,8.485147,0.466646,5028400
1990-05-31,8.439527,8.485147,8.371099,8.416718,0.462883,3909200
1990-06-01,8.439527,8.622004,8.348289,8.553575,0.470410,10098100
1990-06-04,8.530766,8.781670,8.439527,8.758861,0.481699,5045900
1990-06-05,8.758861,8.781670,8.599194,8.644813,0.475427,3806300
1990-06-06,8.553575,8.599194,8.439527,8.485147,0.466646,4420600
1990-06-07,8.462337,8.507956,8.348289,8.462337,0.465392,3918000
1990-06-08,8.462337,8.530766,8.348289,8.371099,0.460374,2332200
1990-06-11,8.371099,8.462337,8.348289,8.393908,0.461629,3599800
1990-06-12,8.439527,8.576385,8.348289,8.507956,0.467901,4209700
1990-06-13,8.553575,8.553575,8.393908,8.462337,0.465392,3130600
1990-06-14,8.439527,8.462337,8.348289,8.462337,0.465392,3966700
1990-06-15,8.371099,8.416718,8.325480,8.348289,0.459120,8656400
1990-06-18,8.325480,8.325480,8.188622,8.188622,0.450339,5437800
1990-06-19,8.143003,8.279860,8.143003,8.211432,0.451593,2999100
1990-06-20,8.257051,8.302670,8.120193,8.188622,0.450339,2694400
1990-06-21,8.257051,8.279860,8.097384,8.120193,0.446575,3400200
1990-06-22,8.143003,8.211432,8.074574,8.097384,0.445321,3952600
1990-06-25,8.097384,8.120193,7.983336,7.983336,0.439049,3144200
1990-06-26,8.028955,8.074574,7.914908,7.914908,0.435286,2640600
1990-06-27,7.937717,8.006145,7.892098,7.983336,0.439049,2631300
1990-06-28,8.051764,8.051764,7.983336,8.006145,0.440303,2026300
1990-06-29,8.028955,8.051764,7.960527,7.983336,0.439049,3208900
1990-07-02,8.006145,8.120193,7.937717,8.097384,0.445321,3478600
1990-07-03,8.165812,8.257051,8.143003,8.211432,0.451593,2290400
1990-07-05,8.234241,8.234241,7.960527,8.028955,0.441558,3817800
1990-07-06,8.051764,8.074574,8.006145,8.028955,0.441558,1730500
1990-07-09,8.028955,8.120193,7.983336,8.074574,0.444067,2222600
1990-07-10,8.074574,8.120193,7.892098,7.892098,0.434031,3132900
1990-07-11,7.937717,7.960527,7.823669,7.846479,0.431522,7781600
1990-07-12,7.869289,8.028955,7.800860,8.028955,0.441558,4095600
1990-07-13,8.028955,8.188622,8.006145,8.074574,0.444067,3404700
1990-07-16,8.120193,8.143003,7.960527,7.960527,0.437795,3461700
1990-07-17,8.006145,8.006145,7.823669,7.960527,0.437795,4397700
1990-07-18,7.937717,7.983336,7.869289,7.937717,0.436540,3699400
1990-07-19,7.892098,8.074574,7.869289,8.074574,0.444067,3186000
1990-07-20,8.120193,8.120193,7.869289,7.892098,0.434031,5961200
1990-07-23,7.869289,7.892098,7.664003,7.823669,0.430268,6414900
1990-07-24,7.823669,7.846479,7.641193,7.732431,0.425250,4437500
1990-07-25,7.686812,7.732431,7.618384,7.709622,0.423996,3713100
1990-07-26,7.709622,7.709622,7.504336,7.641193,0.420233,10558900
1990-07-27,7.504336,7.572765,7.435907,7.572765,0.492395,4822500
1990-07-30,7.549955,7.618384,7.527146,7.595574,0.493878,3207300
1990-07-31,7.549955,7.641193,7.504336,7.572765,0.492395,4378400
1990-08-01,7.572765,7.595574,7.481527,7.504336,0.487946,4103800
1990-08-02,7.458717,7.458717,7.253431,7.276241,0.473115,8280400
1990-08-03,7.253431,7.299050,6.888479,7.276241,0.473115,8443600
1990-08-06,7.070955,7.162193,6.888479,7.002526,0.455317,7835800
1990-08-07,7.093765,7.162193,6.888479,6.934098,0.450868,6890600
1990-08-08,6.979717,7.048145,6.934098,6.956907,0.452351,5918900
1990-08-09,6.956907,7.025336,6.911288,6.979717,0.453834,4125800
1990-08-10,6.956907,7.025336,6.842860,6.888479,0.447902,3261700
1990-08-13,6.888479,6.888479,6.751622,6.842860,0.444935,3598700
1990-08-14,6.865669,6.979717,6.820050,6.888479,0.447902,4187700
1990-08-15,6.934098,7.025336,6.842860,6.956907,0.452351,4389300
1990-08-16,6.865669,6.888479,6.751622,6.751622,0.439003,3559800
1990-08-17,6.660384,6.728812,6.523526,6.614764,0.430104,7458700
1990-08-20,6.614764,6.660384,6.500717,6.569145,0.427138,3657800
1990-08-21,6.523526,6.546336,6.341050,6.386669,0.415273,5809100
1990-08-22,6.409479,6.455098,6.204193,6.249812,0.406375,7502600
1990-08-23,6.204193,6.341050,6.044526,6.044526,0.393026,8538900
1990-08-24,6.158574,6.341050,6.067336,6.272622,0.407858,8852500
1990-08-27,6.614764,6.660384,6.432288,6.477907,0.421206,8491200
1990-08-28,6.455098,6.660384,6.432288,6.546336,0.425655,5971500
1990-08-29,6.523526,6.569145,6.477907,6.546336,0.425655,4945000
1990-08-30,6.546336,6.569145,6.318241,6.341050,0.412307,3293900
1990-08-31,6.363860,6.386669,6.272622,6.363860,0.413790,4318600
1990-09-04,6.295431,6.341050,6.249812,6.341050,0.412307,3314300
1990-09-05,6.363860,6.432288,6.318241,6.318241,0.410824,5189900
1990-09-06,6.295431,6.318241,6.204193,6.249812,0.406375,2938300
1990-09-07,6.227002,6.455098,6.204193,6.409479,0.416756,3674800
1990-09-10,6.500717,6.523526,6.341050,6.363860,0.413790,2171500
1990-09-11,6.363860,6.432288,6.318241,6.409479,0.416756,1830100
1990-09-12,6.363860,6.523526,6.363860,6.477907,0.421206,2513700
1990-09-13,6.477907,6.477907,6.318241,6.341050,0.412307,3778800
1990-09-14,6.318241,6.341050,6.249812,6.318241,0.410824,3735600
1990-09-17,6.295431,6.363860,6.272622,6.341050,0.412307,2225400
