Date,Open,High,Low,Close,Adj Close,Volume
2014-08-07,2.500000,2.500000,1.750000,1.750000,1.750000,1350
2014-08-08,null,null,null,null,null,null
2014-08-11,2.150000,2.500000,2.000000,2.100000,2.100000,4460
2014-08-12,null,null,null,null,null,null
2014-08-13,null,null,null,null,null,null
2014-08-14,null,null,null,null,null,null
2014-08-15,2.000000,2.400000,1.900000,1.900000,1.900000,5960
2014-08-18,null,null,null,null,null,null
2014-08-19,null,null,null,null,null,null
2014-08-20,null,null,null,null,null,null
2014-08-21,null,null,null,null,null,null
2014-08-22,null,null,null,null,null,null
2014-08-25,null,null,null,null,null,null
2014-08-26,null,null,null,null,null,null
2014-08-27,1.410000,1.410000,1.410000,1.410000,1.410000,0
2014-08-28,null,null,null,null,null,null
2014-08-29,null,null,null,null,null,null
2014-09-02,null,null,null,null,null,null
2014-09-03,1.250000,1.480000,1.250000,1.280000,1.280000,4200
2014-09-04,null,null,null,null,null,null
2014-09-05,null,null,null,null,null,null
2014-09-08,null,null,null,null,null,null
2014-09-09,null,null,null,null,null,null
2014-09-10,null,null,null,null,null,null
2014-09-11,null,null,null,null,null,null
2014-09-12,null,null,null,null,null,null
2014-09-15,null,null,null,null,null,null
2014-09-16,null,null,null,null,null,null
2014-09-17,null,null,null,null,null,null
2014-09-18,null,null,null,null,null,null
2014-09-19,null,null,null,null,null,null
2014-09-22,null,null,null,null,null,null
2014-09-23,null,null,null,null,null,null
2014-09-24,null,null,null,null,null,null
2014-09-25,null,null,null,null,null,null
2014-09-26,null,null,null,null,null,null
2014-09-29,null,null,null,null,null,null
2014-09-30,null,null,null,null,null,null
2014-10-01,0.610000,0.610000,0.297000,0.330000,0.330000,2588466
2014-10-02,null,null,null,null,null,null
2014-10-03,null,null,null,null,null,null
2014-10-06,null,null,null,null,null,null
2014-10-07,null,null,null,null,null,null
2014-10-08,null,null,null,null,null,null
2014-10-09,null,null,null,null,null,null
2014-10-10,null,null,null,null,null,null
2014-10-13,null,null,null,null,null,null
2014-10-14,null,null,null,null,null,null
2014-10-15,0.330000,0.335000,0.300000,0.335000,0.335000,34146
2014-10-16,0.315000,0.350000,0.300000,0.350000,0.350000,146415
2014-10-17,0.360000,0.385000,0.360000,0.385000,0.385000,30825
2014-10-20,0.380000,0.390000,0.350000,0.390000,0.390000,39538
2014-10-21,0.390000,0.455000,0.371600,0.435000,0.435000,235344
2014-10-22,0.500000,0.590000,0.480000,0.520000,0.520000,425900
2014-10-23,0.550000,0.550000,0.500000,0.520000,0.520000,42454
2014-10-24,0.538900,0.538900,0.480000,0.500000,0.500000,46904
2014-10-27,0.490000,0.500000,0.460000,0.461000,0.461000,38883
2014-10-28,0.470000,0.490000,0.460000,0.490000,0.490000,9149
2014-10-29,0.500000,0.550000,0.490000,0.500000,0.500000,76350
2014-10-30,0.501000,0.501000,0.450000,0.450000,0.450000,53000
2014-10-31,null,null,null,null,null,null
2014-11-03,0.460000,0.460000,0.420000,0.460000,0.460000,21771
2014-11-04,0.460000,0.460000,0.460000,0.460000,0.460000,1200
2014-11-05,null,null,null,null,null,null
2014-11-06,0.465000,0.465000,0.465000,0.465000,0.465000,199
2014-11-07,0.430100,0.430100,0.430000,0.430000,0.430000,7500
2014-11-10,0.430000,0.430000,0.405000,0.405000,0.405000,20002
2014-11-11,0.450000,0.450000,0.439900,0.439900,0.439900,13101
2014-11-12,0.440000,0.470000,0.400000,0.400000,0.400000,22294
2014-11-13,0.400000,0.460000,0.400000,0.460000,0.460000,23040
2014-11-14,0.410000,0.440000,0.410000,0.440000,0.440000,7801
2014-11-17,null,null,null,null,null,null
2014-11-18,null,null,null,null,null,null
2014-11-19,0.390000,0.435000,0.390000,0.420000,0.420000,19500
2014-11-20,0.430000,0.430000,0.430000,0.430000,0.430000,850
2014-11-21,0.430000,0.430000,0.430000,0.430000,0.430000,0
2014-11-24,null,null,null,null,null,null
2014-11-25,null,null,null,null,null,null
2014-11-26,null,null,null,null,null,null
2014-11-28,null,null,null,null,null,null
2014-12-01,null,null,null,null,null,null
2014-12-02,null,null,null,null,null,null
2014-12-03,null,null,null,null,null,null
2014-12-04,null,null,null,null,null,null
2014-12-05,null,null,null,null,null,null
2014-12-08,null,null,null,null,null,null
2014-12-09,0.350000,0.370000,0.330000,0.330000,0.330000,21850
2014-12-10,null,null,null,null,null,null
2014-12-11,null,null,null,null,null,null
2014-12-12,0.370000,0.370000,0.360000,0.360000,0.360000,6000
2014-12-15,null,null,null,null,null,null
2014-12-16,null,null,null,null,null,null
